date,open,high,low,close,volume
2014-04-24,27.3624,27.5757,26.915,27.0387,433808
2014-04-25,26.9721,27.2863,26.1819,26.5056,727598
2014-04-28,26.5627,26.7626,25.9819,26.6198,285436
2014-04-29,26.7531,27.0102,26.22,26.5532,220731
2014-04-30,26.6008,26.8483,26.4104,26.8388,254240
2014-05-01,26.6008,27.2006,26.6008,26.8578,400118
2014-05-02,26.8388,27.1244,26.5817,26.9816,236758
2014-05-05,26.8769,27.1911,26.6103,27.172,138634
2014-05-06,27.172,27.2672,26.7817,26.7912,157890
2014-05-07,26.7722,27.3148,26.1438,26.4199,486790
2014-05-08,26.7531,27.3529,26.5913,27.3053,287100
2014-05-09,27.3434,28.2764,26.8578,27.8956,646002
2014-05-12,27.8004,28.9619,27.7147,28.5811,463842
2014-05-13,28.5716,28.7382,28.2383,28.4573,228432
2014-05-14,28.2955,28.524,28.2193,28.2288,174075
2014-05-15,28.0765,28.4097,27.848,28.2859,427194
2014-05-16,28.4002,28.4859,27.7718,28.4097,397469
2014-05-19,28.2288,28.4668,27.9622,28.0098,316167
2014-05-20,27.9527,28.3526,27.7623,27.8385,401335
2014-05-21,28.0098,28.4383,27.8766,28.2193,298172
2014-05-22,26.7915,26.925,26.3911,26.8011,4304426
2014-05-23,26.9059,27.335,26.8201,27.1252,1255787
2014-05-27,27.3636,27.621,27.2492,27.478,1427840
2014-05-28,27.5924,27.6592,27.4303,27.6401,1081053
2014-05-29,27.7926,27.8785,27.5066,27.764,1194313
2014-05-30,27.6878,28.1406,27.5543,28.0405,3738628
2014-06-02,28.0977,28.2408,27.6782,28.1168,674792
2014-06-03,27.9643,28.3742,27.9452,28.1931,574412
2014-06-04,28.1931,28.4505,28.1645,28.3838,628349
2014-06-05,28.5268,28.6031,28.317,28.584,690423
2014-06-06,28.6984,28.8033,28.3552,28.6698,569712
2014-06-09,28.6889,29.0655,28.4314,28.87,1083730
2014-06-10,28.9272,29.2419,28.8414,29.0416,729854
2014-06-11,28.9654,29.1751,28.9082,29.0416,239411
2014-06-12,28.994,29.1027,28.8033,28.8891,313089
2014-06-13,29.137,29.2419,28.9654,29.0798,542942
2014-06-16,28.9654,29.3753,28.9558,29.2895,1550358
2014-06-17,29.2895,29.9188,29.218,29.8711,1510094
2014-06-18,29.7853,30.1762,29.7663,29.8616,630779
2014-06-19,30.0332,30.3097,29.9474,30.2716,833118
2014-06-20,30.3192,30.672,30.1476,30.6053,1248085
2014-06-23,30.5385,30.7769,30.3574,30.4909,764359
2014-06-24,30.4623,30.5671,30.1762,30.2811,769731
2014-06-25,30.1762,30.7483,29.9493,30.7197,753904
2014-06-26,30.796,30.9008,30.4051,30.5576,628080
2014-06-27,30.529,30.6339,30.119,30.2048,5245351
2014-06-30,30.3192,30.6625,30.243,30.3955,819021
2014-07-01,30.4527,30.7674,30.3765,30.5576,794220
2014-07-02,30.6243,30.9962,30.5366,30.8436,527011
2014-07-03,31.0343,31.0992,30.6529,30.9867,915006
2014-07-07,30.3478,30.5767,29.8425,30.0904,1344124
2014-07-08,30.0523,30.3955,29.7567,30.2239,962922
2014-07-09,30.2525,30.6148,30.2144,30.5147,937802
2014-07-10,30.1953,30.4718,30.1286,30.4051,766624
2014-07-11,30.3765,30.4584,29.9855,30.0141,430294
2014-07-14,30.1762,30.4089,29.9808,30.0332,444519
2014-07-15,29.9855,30.119,29.4516,29.7186,547562
2014-07-16,29.7281,30.0904,29.5946,29.8902,731311
2014-07-17,29.7853,30.2048,29.6423,29.7567,473036
2014-07-18,29.833,29.8902,29.6614,29.8187,302848
2014-07-21,29.6614,29.7949,29.423,29.6614,235627
2014-07-22,29.8235,29.9951,29.5889,29.7186,263349
2014-07-23,29.7567,29.8711,29.6018,29.7281,171530
2014-07-24,29.7663,30.1858,29.6518,29.8807,603292
2014-07-25,29.833,29.833,29.4802,29.566,167172
2014-07-28,29.5565,29.6518,29.2037,29.5565,354445
2014-07-29,29.566,29.9569,29.566,29.6709,410173
2014-07-30,29.7472,29.8902,29.5679,29.8235,576845
2014-07-31,29.7281,30.4622,29.0893,29.4516,713455
2014-08-01,29.4612,29.6423,29.1561,29.5374,511318
2014-08-04,29.5374,29.7472,29.1847,29.3086,674018
2014-08-05,29.1084,29.6614,28.8605,29.5756,816052
2014-08-06,29.4039,29.9379,29.0235,29.6614,539424
2014-08-07,29.7663,29.8807,29.1656,29.2133,325389
2014-08-08,29.2514,29.4993,29.1275,29.4135,182231
2014-08-11,29.5565,29.9283,29.4135,29.5946,597939
2014-08-12,29.566,30.0046,29.566,29.8139,389874
2014-08-13,29.9188,30.3183,29.7758,30.1667,341191
2014-08-14,30.3383,30.529,30.2239,30.4527,264374
2014-08-15,30.5862,30.7863,30.2906,30.5767,369021
2014-08-18,30.8436,31.2727,30.672,31.1678,578377
2014-08-19,31.368,31.4634,31.2536,31.4634,359711
2014-08-20,31.4538,31.4634,31.2536,31.368,226421
2014-08-21,31.4468,31.6759,31.2177,31.6568,336359
2014-08-22,31.6377,31.7332,31.5041,31.6186,208249
2014-08-25,31.8191,32.0577,31.7332,31.7332,278003
2014-08-26,31.8955,32.1437,31.7236,31.9623,475399
2014-08-27,32.1437,32.2678,31.7427,31.8573,309386
2014-08-28,31.7618,31.7618,31.3227,31.4563,371610
2014-08-29,31.59,31.6282,31.3609,31.5423,237425
2014-09-02,31.5041,31.6664,31.3418,31.6377,448902
2014-09-03,30.7117,30.7403,30.1771,30.2535,2946824
2014-09-04,30.3107,30.6162,29.9098,29.948,839663
2014-09-05,30.053,30.4062,29.9861,30.2248,736582
2014-09-08,30.1484,30.473,30.1198,30.2057,640831
2014-09-09,30.1198,30.2439,29.8525,29.9957,651185
2014-09-10,30.0148,30.1427,29.5947,29.9384,446815
2014-09-11,29.7188,30.1723,29.7188,29.8143,585407
2014-09-12,29.8907,29.9575,29.4993,29.9527,1022006
2014-09-15,29.9384,29.9384,29.1747,29.4229,507701
2014-09-16,29.3083,29.7188,29.1175,29.5947,477995
2014-09-17,29.6138,30.0625,29.5756,29.9098,489546
2014-09-18,29.948,30.3585,29.7093,30.3394,435774
2014-09-19,30.4348,30.6258,30.1389,30.368,1309791
2014-09-22,30.1675,30.5494,29.8239,29.8811,591161
2014-09-23,29.757,29.9289,29.1079,29.1079,530496
2014-09-24,29.1842,29.6425,28.9551,29.5661,766580
2014-09-25,29.547,29.7093,28.7737,28.9647,1098052
2014-09-26,29.041,29.2415,28.8787,29.1842,313907
2014-09-29,28.9074,29.337,28.704,29.2606,223953
2014-09-30,29.6616,30.0606,29.2892,29.6425,930708
2014-10-01,29.6425,29.6425,28.8787,28.9837,523228
2014-10-02,28.9837,29.0935,28.516,28.7355,842942
2014-10-03,29.5947,29.652,29.232,29.3274,882187
2014-10-06,29.5756,29.8429,29.1174,29.1842,393035
2014-10-07,29.1269,29.1269,28.6401,28.7737,795816
2014-10-08,28.8119,28.9265,28.3059,28.7928,517932
2014-10-09,28.7928,28.9351,28.4396,28.4491,571555
2014-10-10,28.2009,28.2677,27.5613,27.6949,1145897
2014-10-13,27.8095,27.9527,27.0171,27.0696,1139770
2014-10-14,27.1412,27.483,26.8739,27.1317,819382
2014-10-15,26.7689,27.3894,26.3393,27.1412,1006083
2014-10-16,26.8071,27.189,26.5875,26.9694,1092203
2014-10-17,27.2367,27.9145,27.2367,27.7331,520922
